;LLL;OLnL;PLnL;LOL;OLnO;PLL;PLnO;LOO;PoOO;PLO;PoOP;PLP;OOO;SLO;POO;POP;SOO;SOP ou POS;PPS ou POA
NY17;0.06;0.18;0.02;1.34;1.59;0.23;0.41;12.23;0.86;3.16;0.23;0.17;54.86;0.8;16.62;1.92;4.49;0.58;0.45
NY18;0.07;0.24;0.08;1.24;1;0.24;0.47;12.8;01.03;3.25;0.24;0.17;54.8;0.91;16.14;1.83;4.59;0.52;0.4
NY19;0.06;0.21;0.01;1.67;1.45;0.12;0.26;13.38;0.63;3.2;0.27;0.16;54.56;0.47;16.31;1.93;4.33;0.53;0.45
NY20;0.03;0.15;0.03;1.17;1.53;0.2;0.38;11.54;0.87;03.03;0.25;0.17;55.39;0.74;16.93;1.97;4.55;0.58;0.49
NY21;0.06;0.22;0.02;1.35;1.51;0.23;0.52;12.6;0.91;3.23;0.26;0.18;54.44;0.42;16.63;1.98;4.46;0.58;0.4
NY23;0.06;0.18;0.02;1.34;1.59;0.23;0.41;12.23;0.86;3.16;0.23;0.17;54.86;0.8;16.62;1.92;4.49;0.58;0.45
NY24;0.03;0.16;0.03;1.38;1.58;0.22;0.4;12.34;0.88;3.25;0.26;0.19;54.03;0.83;16.9;1.97;4.58;0.55;0.42
NY25;0.06;0.21;0.04;1.37;1.44;0.1;0.26;12.27;0.61;2.99;0.26;0.14;55.82;0.45;16.44;1.94;4.59;0.53;0.48
NY26;0.06;0.18;0.02;1.34;1.55;0.23;0.42;12.43;0.92;3.26;0.24;0.19;53.97;0.81;17.02;1.98;4.37;0.57;0.44
NY34;0.046001;0.139;0.015;0.94503;1.479;0.26501;0.47001;11.16;1.1;3.1801;0.32201;0.17301;54.998;0.74502;16.979;1.8451;4.9571;0.68602;0.49601
NY35;0.047999;0.125;0.016999;0.84797;1.429;0.25299;0.45999;10.34;0.96497;2.8719;0.28199;0.155;56.692;0.68998;16.508;1.65;5.3708;0.75598;0.53998
NY342;0.045;0.137;0.018;0.972;1.501;0.265;0.466;11.233;1.112;3.16;0.297;0.15;54.97;0.773;16.951;1.848;4.887;0.715;0.5
NY36;0.060001;0.128;0.022;0.98901;1.388;0.267;0.431;10.92;0.96801;2.998;0.254;0.159;56.262;0.81001;16.119;1.688;5.2921;0.73301;0.51201
NY37;0.045005;0.13202;0.010001;0.94011;1.4842;0.26903;0.48706;11.163;1.0541;3.1324;0.31104;0.15702;55.041;0.69508;16.863;1.9022;5.0536;0.74509;0.51506
NY41;0.056;0.143;0.023;1.017;1.581;0.289;0.468;11.359;1.101;3.241;0.327;0.197;54.678;0.857;16.625;1.859;5.006;0.692;0.481
NY42;0.058999;0.153;0.023;1.097;1.581;0.323;0.50199;11.649;1.052;3.313;0.307;0.176;54.393;0.76199;16.563;1.776;5.0229;0.70499;0.54299
VB01;0.32;0.47;0.11;3.99;1.95;1.61;0.89;16.69;02.02;9.56;01.08;1.22;31.14;1.13;20.36;3.59;2.68;0.8;0.39
VB02;0.41;0.51;0.14;4.8;1.8;1.89;0.91;18.31;1.87;10.74;0.89;1.35;27.8;1.31;19.78;3.71;2.54;0.94;0.3
VB03;0.11;0.35;0.08;1.99;2.12;0.81;0.92;13.16;3.31;7.38;1.71;0.82;35.2;0.66;23.59;4.11;2.55;0.73;0.4
VB04;0.12;0.31;0.07;02.06;1.87;0.65;0.81;13.85;1.76;6.14;0.97;0.61;40.99;0.74;21.44;3.4;03.01;0.8;0.4
VB05;0.25;0.39;0.09;3.28;1.85;1.31;0.94;15.53;1.99;8.68;1.12;01.02;32.86;01.08;21.36;3.77;3.12;0.96;0.4
VB06;0.29;0.45;0.1;3.63;1.93;1.44;0.89;16.11;2.13;9.1;1.15;1.1;31.99;01.06;20.92;3.71;2.76;0.85;0.39
